"Gene","AvgLogNormExpr","PctExpressing"
"Gria2",1.4344880336477,59.1664368450083
"Grik2",1.42012828244714,58.744139547711
"Gria4",1.27782679032937,55.8880308880309
"Gabrb1",1.22322731144604,52.4527716492002
"Grin2b",1.08171153446042,48.6452013237728
"Gria1",0.925516791159272,44.1050744622173
"Asic2",1.13746535295476,43.7310397131826
"Gabrb3",0.870987249996525,43.1415471594043
"Gria3",0.694069539395943,36.0883204633205
"Grin2a",0.740948320057116,35.5022752344181
"Glrb",0.514836654501281,30.5829426365141
"Gabrg3",0.62888973718417,30.3347352454495
"Grik1",0.563837372758182,28.157749586321
"Grin1",0.450503539864516,28.1077633756205
"Gabrb2",0.445139479437358,26.3496276889134
"Grik4",0.427718448330922,26.0445394373966
"Gabrg2",0.405040712948396,25.6084528405957
"Grin3a",0.424103444148869,24.7517926089355
"Gabra1",0.422270568392366,24.601833976834
"Gabra2",0.358738653786003,21.4820049641478
