"Channel","PctExpr","NumCells"
"nAChR_α7",7.4600110314396,4328
"nAChR_α4β2",0.734280198565913,426
"nAChR_α6β2β3",0.241312741312741,140
"AMPA",75.167195256481,43609
"NMDA",25.5222697186983,14807
"Kainate",73.9416712630998,42898
"GABAA",29.7383480419195,17253
"GlyR",12.201806398235,7079
"P2X",14.0254412575841,8137
"ASIC",46.6130033094319,27043
"5HT3",0.0241312741312741,14
"ZACN",0,0
