"Condition","Mean_NumGenes_Exc","Mean_NumGenes_Inh","Mean_NumGenes_EIratio","Mean_Density_Exc","Mean_Density_Inh","Mean_Density_EIratio"
"control",5.69198767823685,3.28854520626249,329259.348231407,11.506457158969,6.02446480315519,837615.844444103
"hungry",5.35829557198503,3.0139120756817,312426.981466078,10.7739010791936,5.61414680614924,798616.217547565
"sated",5.55835962145114,3.45963579007746,300187.834792391,10.7850604737155,6.05344585210708,709426.172359698
