"Gene","AvgExpr","PctExpr","BG_MeanPct","BG_SDpct","EmpiricalP","N_bg_candidates","TolUsed","EmpiricalFDR"
"Chrna4",0.144341415139049,9.35776337562052,8.99536650108296,1.94915166856648,0.407012195121951,3280,0.05,0.407012195121951
"Chrna6",0.0993726845818082,6.92567567567568,6.06056814522516,1.91742171917831,0.330046286979271,4969,0.05,0.407012195121951
"Chrna7",0.0993356653272999,7.4600110314396,6.05628448504279,1.91620131410245,0.254377138257195,4969,0.05,0.407012195121951
"Chrnb2",0.0674012692285353,4.81246552675124,3.81549859880518,1.91625672550457,0.312387293660702,7209,0.05,0.407012195121951
"Chrnb3",0.125189181198824,8.45973524544953,7.7657359389891,1.92314519271342,0.360290305857958,3858,0.05,0.407012195121951
