"Gene","AvgLogNormExpr","PctExpressing","NumCellsExpressing"
"Gria2",1.4344880336477,59.1664368450083,34326
"Grik2",1.42012828244714,58.744139547711,34081
"Gria4",1.27782679032937,55.8880308880309,32424
"Gabrb1",1.22322731144604,52.4527716492002,30431
"Asic2",1.13746535295476,43.7310397131826,25371
"Grin2b",1.08171153446042,48.6452013237728,28222
"Gria1",0.925516791159272,44.1050744622173,25588
"Gabrb3",0.870987249996525,43.1415471594043,25029
"Grin2a",0.740948320057116,35.5022752344181,20597
"Gria3",0.694069539395943,36.0883204633205,20937
"Gabrg3",0.62888973718417,30.3347352454495,17599
"Grik1",0.563837372758182,28.157749586321,16336
"Glrb",0.514836654501281,30.5829426365141,17743
"Grin1",0.450503539864516,28.1077633756205,16307
"Gabrb2",0.445139479437358,26.3496276889134,15287
"Grik4",0.427718448330922,26.0445394373966,15110
"Grin3a",0.424103444148869,24.7517926089355,14360
"Gabra1",0.422270568392366,24.601833976834,14273
"Gabrg2",0.405040712948396,25.6084528405957,14857
"Gabra2",0.358738653786003,21.4820049641478,12463
"Grik3",0.332285536578716,19.7186982901269,11440
"Grik5",0.305813528431166,20.2737175951462,11762
"Gabra3",0.207112313854933,14.626999448428,8486
"Glra3",0.201640541621793,13.3135686707115,7724
"Grin2d",0.159322703957397,11.3847904026475,6605
"Chrna4",0.144341415139049,9.35776337562052,5429
"P2rx4",0.137633031989569,8.96476833976834,5201
"Chrnb3",0.125189181198824,8.45973524544953,4908
"Glra2",0.122895962296755,8.58556260341975,4981
"Glra1",0.117847391681406,8.24255377826806,4782
"Gabrg1",0.114533662973637,7.13251516822945,4138
"Gabra4",0.108940638098662,7.85817705460563,4559
"Asic1",0.107685355244116,7.34107832322118,4259
"Chrna6",0.0993726845818082,6.92567567567568,4018
"Chrna7",0.0993356653272999,7.4600110314396,4328
"Gabra5",0.0766927169929561,5.73117760617761,3325
"P2rx7",0.0745830607326273,3.60762548262548,2093
"Chrnb2",0.0674012692285353,4.81246552675124,2792
"Grin2c",0.0662493768379078,3.75068946497518,2176
"Gabrr2",0.0644001615737939,2.92333149476007,1696
"Gabrq",0.0261420637903865,1.8150165471594,1053
"Asic4",0.025505050711507,1.69608383894098,984
"Chrna5",0.0218894133691352,1.64782129067843,956
"Chrna3",0.0200634945711517,1.51165195808053,877
"Glra4",0.0196474565595284,1.33239106453392,773
"Chrnb1",0.0139815483620748,1.00834252619967,585
"P2rx5",0.0101211244327158,0.784266409266409,455
"Chrna9",0.00952315802747402,0.572255929398787,332
"P2rx6",0.00944303111816916,0.656715388858246,381
"Chrna2",0.00841351944917706,0.546400992829564,317
"Asic3",0.00806209590497687,0.477454495311638,277
"Grin3b",0.00758985295909244,0.542953667953668,315
"P2rx3",0.00697626283169206,0.534335355763927,310
"Gabre",0.00511995291456712,0.348179812465527,202
"Gabrr3",0.00382174414965025,0.220628792057363,128
"Chrnb4",0.00366169607270914,0.258549365692223,150
"Chrng",0.00264802685147872,0.208563154991726,121
"Chrna1",0.00243848129124428,0.203392167677882,118
"Gabrd",0.00197969518475965,0.1396166574738,81
"P2rx1",0.00175699524417243,0.127551020408163,74
"Gabrr1",0.00169204885853944,0.129274682846111,75
"Chrne",0.00105527552656436,0.0603281853281853,35
"P2rx2",0.000905194181623698,0.0637755102040816,37
"Chrna10",0.0006430599185265,0.0499862107004964,29
"Gabrp",0.000518597951835143,0.0379205736348594,22
"Asic5",0.000354788286322904,0.0241312741312741,14
"Gabra6",0.000352065325167489,0.022407611693326,13
"Htr3a",0.000307935220602485,0.0241312741312741,14
"Htr3b",0.000294298403233283,0.0258549365692223,15
"Chrnd",9.71783907308259e-05,0.00689464975179261,4
